name,my_rating,imdb_rating,tmdb_rating,tmdb_count,metacritic_rating,budget,revenue,runtime,award_count,imdb_count,imdb_arithmetic_mean,imdb_median,imdb_top_1000_rating,imdb_top_1000_count,imdb_us_rating,imdb_us_count,imdb_not_us_rating,imdb_not_us_count,imdb_rating_percentile,tmdb_rating_percentile,metacritic_rating_percentile,is_action,is_comedy,is_adventure,is_animation,is_family,is_drama,is_scifi,is_thriller,is_rated_g,is_rated_pg,is_rated_pg13,is_rated_r,is_rated_nr,is_brad_pitt,is_stan_lee,is_christopher_nolan,is_spielberg,is_harrison_ford,is_matt_damon,is_wes_anderson,is_tom_cruise,is_john_williams,is_rdj,is_quentin_tarantino,is_tom_hanks,is_george_lucas,is_leonardo_dicaprio,is_the_rock,is_stanley_kubrick,is_john_hughes,is_jim_carrey,is_wally_pfister,is_henry_fonda,is_morgan_freeman,is_bong_joon_ho,is_dustin_hoffman,is_arnold_schwarz,is_jack_nicholson,is_aamir_khan,is_sean_connery,is_brad_bird,is_natalie_portman,is_robin_williams,is_sandra_bullock,is_bill_murray
Catch Me If You Can,77,8.1,8,12420,75,52000000,352114312,141,2,934458,8.2,8,7.8,844,8.1,118137,8,363221,81.91126279863481,87.71331058020478,68.9419795221843,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Poets Society,81,8.1,8.3,9028,79,16400000,235860116,128,4,469857,8.1,8,7.6,762,8,72871,8,189336,81.91126279863481,95.05119453924915,76.96245733788396,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dune,44,8.1,7.9,6731,74,165000000,400000000,155,0,548242,8.1,8,7.5,478,8,50406,8,159953,81.91126279863481,83.10580204778157,67.06484641638225,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fargo,69,8.1,7.9,6323,85,7000000,60611975,98,7,662197,8.1,8,8.1,843,8.4,129820,8,266468,81.91126279863481,83.10580204778157,87.8839590443686,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford v Ferrari,76,8.1,8,5654,81,97600000,225508210,153,4,363631,8.2,8,7.6,587,8,37899,8,123438,81.91126279863481,87.71331058020478,80.03412969283276,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Solo,48,8.1,7.9,978,83,0,21790193,100,1,64988,8.2,8,7.3,230,8.2,9969,8.1,26356,81.91126279863481,83.10580204778157,83.44709897610922,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gandhi,53,8.1,7.5,1867,87,22000000,77737889,191,11,227416,8,8,7.7,676,8.1,40840,8,100641,81.91126279863481,66.04095563139931,89.76109215017065,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Groundhog Day,80,8.1,7.6,6287,72,14600000,71074049,101,0,612554,8,8,8.1,840,8.2,115680,8,259798,81.91126279863481,70.13651877133105,62.79863481228669,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Henri Dauman: Looking Up,49,8.1,5,1,37.83895010836156,0,0,86,0,20,7.8,8,0,0,7.8,12,10,2,81.91126279863481,0.8532423208191127,0.17064846416382254,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How to Train Your Dragon,72,8.1,7.8,10837,75,165000000,494878759,98,2,717234,8.2,8,7.6,755,8.1,88186,8.1,288645,81.91126279863481,78.839590443686,68.9419795221843,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
